SENTENCE A,SENTENCE B,label
a dead bird is near a black man sitting on a tree,a black bird is sitting on a dead tree,0
a man is putting away a guitar,a person is singing and playing the guitar,0
the lady is cracking an egg into a dish,the man is cracking eggs into a bowl,0
a dog is near a ball colored in red which is in the air,a man is playing a guitar,0
two men are not fighting,two men are fighting,1
one person is standing in a vast field of glacial ice,the person is standing on white ice,0
the man in the purple hat is operating a camera that makes videos,the man with the dyed purple hat is operating a camera that makes memes,1
a man is cutting a potato,a man is not cutting a potato,1
there is no cat eating corn on the cob,a cat is eating corn on the cob,1
two women with dogs are walking on a forest path,two dogs and two people are sitting in the woods,0
a person is pouring cooking oil into a pot,a person is pouring olive oil into the stove from a pot,0
a person is wearing a red jacket and holding a beer,the woman is wearing a red jacket and holding a glass in front of the man in a t-shirt which is white,0
there is no man standing next to a bus,a man is standing next to a bus,1
a couple is running towards the ocean,a snowboarding man is jumping through the air,0
the man is erasing the drawing on the board,the man is erasing the other mans work from the panel,0
people in costumes are sitting in the street,two people dressed in green and red costumes are outside on the sidewalk,0
the black dog is walking through the tall grass,the black dog is not walking through the tall grass,1
the kid is still in the snow,a boy on a hill covered in snow is wearing a red jacket and a black hat and is sliding on his face,1
a person is frying meat in a pan,a person is not holding a skunk,0
the person is dicing up a pepper which is orange,a cook is slicing some bell peppers,0
someone is folding a piece of paper,a person is not folding a piece of paper,1
four young men are exploding and a car is standing still behind them,the boys are standing in front of the burning car,0
two groups of people are playing football,a player is running with the ball,0
a woman is playing a flute,a woman is getting rid of a flute,0
adults and children standing and playing in front of steps near a wooded area,the adults and children are being grouped near an outdoor seating arrangement,0
a person wearing jeans is sitting on top of a horse saddle,there is no person wearing jeans sitting on top of a horse saddle,1
a man is riding a horse,the person is not riding the horse,0
a man is singing to a woman,a man is talking on the phone,0
a man is dancing upside-down on the ceiling,a man is idling on the floor,0
the person is not drawing,the person is drawing,1
three boys are jumping off a platform,a boy is jumping off a platform and two other boys are standing and watching,0
a young girl is sitting in swimming gear,a young man is sitting in swimming gear,0
there is no woman riding a horse,a woman is riding a horse,1
a white and brown dog is walking through the water with difficulty,a brown and white coat is floating across shallow water near a trotting dog,0
a dog is standing with its two front paws on a rock in a field,there is no dog standing with its two front paws on a rock in the field,1
two men are holding fishing poles,two men are not holding fishing poles,1
the man isnt intensely playing the guitar,a girl is playing the guitar,0
four children are doing backbends in the gym,four children are doing backbends in the park,0
a baby rhino is walking around a pen with its mother,a mother is giving the baby a pen with a walking rhino on it,0
there is no man doing a card trick,a man is playing with water,0
some furious racers on the green grass are yelling at the horses jumping an obstacle,some horses are racing furiously over the green grass and jumping an obstacle,0
there is no man eating a pizza,a man is eating some food,0
a man is standing on the top of the rocks with clouds behind them,a person is lying on the top of the rocks with clouds behind them,0
a dog is chasing a ball,a blue ball is being caught by the dog,0
a dog which is black and a white one are staring at each other in the street,there are no dogs of different breeds looking at each other across a street,0
a man with indian clothing and henna on his hand is going through paperwork,a girl with indian clothing and henna on her hand is going through paperwork,0
the woman is picking up the kangaroo,a kangaroo is picking up the womans baby,0
the cat is licking milk from a saucer,the cat is hungrily drinking milk,0
a person is riding the bicycle on one wheel,a person in a black jacket is doing tricks on a motorbike,0
a child is playing slip and slide in the grass,a child is splashing in a pool for children and other kids are playing in the background,0
the man is catching a fish,a woman is deboning a fish,0
the elephant is being ridden over a woman,a man is recklessly riding a horse,0
a woman is running on the beach with a dog on a leash,a woman in a bikini is pulling a dog on a leash at the beach,0
a man is jumping rope outside,a woman is jumping rope outside,0
a young girl with painted face is standing next to some other children,kids are being dressed in costumes and playing a game,0
"Yes, you can play stream audio, not just downloaded music.",Yes. It basically functions as an audio-out connection with the bluetooth. It works for any source of audio coming from your phone.,0
